"Name (2023) (523)","Team (2023) (523)","Fouls (2023) (523)","BKS (2023) (523)","Pts (2023) (523)","STL (2023) (523)","Assists (2023) (523)","MIN (2023) (523)","Turnovers (2023) (523)","G (2023) (523)","REB (2023) (523)","2FGM (2023) (523)","FGM (2023) (523)","FTM (2023) (523)","3FGM (2023) (523)","DREB (2023) (523)","OREB (2023) (523)","2FGA (2023) (523)","FGA (2023) (523)","FTA (2023) (523)","Status () (524)","Pos () (524)","Pos Cat () (524)","2FG Perc (Calculated)","3FG Perc (Calculated)","FG Perc (Calculated)","Free Kick Perc (Calculated)","MIN / G (Calculated)","FGM / FGA (%) (Calculated)"
"Tyrese Haliburton","Indiana Pacers",74,48,1382,83,746,133422,157,69,269,305,500,194,195,234,35,513,1048,227,"ACT","SG","G",59.4541910331384,36.44859813084112,47.70992366412214,85.46255506607929,1933.6521739130435,47.70992366412214
"Patrick Williams","Chicago Bulls",86,32,421,39,66,70443,55,43,161,100,159,52,59,116,46,211,359,66,"ACT","SF","F",47.39336492890995,39.86486486486486,44.28969359331476,78.78787878787878,1638.2093023255813,44.289693593314766
"Isaiah Stewart","Detroit Pistons",99,38,503,17,73,85367,66,46,305,119,186,64,67,231,74,207,382,85,"QUES","PF","F",57.48792270531401,38.285714285714285,48.69109947643979,75.29411764705883,1855.804347826087,48.69109947643979
"Saben Lee","Phoenix Suns",13,3,67,7,30,11024,7,23,30,17,19,29,2,22,9,38,54,39,"INACT","PG","G",44.73684210526316,12.5,35.18518518518518,74.35897435897436,479.30434782608694,35.18518518518518
"Killian Hayes","Brooklyn Nets",73,20,285,35,198,60456,45,42,115,95,117,33,22,105,11,209,283,50,"INACT","PG","G",45.45454545454545,29.72972972972973,41.342756183745585,66,1439.4285714285713,41.342756183745585
"Saddiq Bey","Washington Wizards",88,11,863,51,92,123697,54,63,411,177,290,170,113,244,167,339,697,203,"INACT","PF","F",52.21238938053098,31.564245810055862,41.60688665710187,83.74384236453201,1963.4444444444443,41.60688665710187
"Lamar Stevens","Detroit Pistons",45,22,272,23,28,33537,24,38,127,94,108,42,14,91,36,194,240,54,"INACT","C","C",48.45360824742268,30.434782608695656,45,77.77777777777779,882.5526315789474,45
"Isaac Okoro","Cleveland Cavaliers",140,34,647,57,132,113218,54,69,206,151,235,93,84,139,67,265,480,137,"ACT","SF","F",56.9811320754717,39.06976744186046,48.95833333333333,67.88321167883211,1640.840579710145,48.958333333333336
"Jordan Nwora","Toronto Raptors",48,13,364,26,62,42681,53,52,149,94,138,44,44,121,28,168,299,53,"INACT","PF","F",55.952380952380956,33.587786259541986,46.15384615384615,83.01886792452831,820.7884615384615,46.15384615384615
"Sam Merrill","Cleveland Cavaliers",72,4,485,19,108,64132,19,61,120,15,158,26,143,98,22,39,393,28,"ACT","SG","G",38.46153846153847,40.3954802259887,40.20356234096692,92.85714285714286,1051.344262295082,40.20356234096692
"Mamadi Diakite","New York Knicks",2,1,12,1,2,1466,1,6,4,4,4,4,0,3,1,5,6,6,"INACT","C","C",80,0,66.66666666666666,66.66666666666666,244.33333333333334,66.66666666666667
"Xavier Tillman","Boston Celtics",72,42,270,51,75,58469,31,54,200,101,121,22,20,136,70,198,279,50,"ACT","C","C",51.010101010101,24.691358024691358,43.36917562724014,44,1082.7592592592594,43.369175627240146
"Naji Marshall","Dallas Mavericks",91,12,466,49,128,75419,65,66,240,112,170,68,58,187,53,217,367,86,"QUES","PF","F",51.61290322580645,38.666666666666664,46.321525885558586,79.06976744186046,1142.7121212121212,46.321525885558586
"Kira Lewis Jr.","Utah Jazz",13,2,89,9,37,15854,14,28,26,30,34,17,4,17,9,59,92,20,"INACT","SG","G",50.847457627118644,12.121212121212121,36.95652173913043,85,566.2142857142857,36.95652173913044
"Desmond Bane","Memphis Grizzlies",117,22,965,43,226,86570,110,42,176,223,360,140,137,142,36,416,776,161,"ACT","PG","G",53.605769230769226,38.05555555555556,46.391752577319586,86.95652173913044,2061.190476190476,46.391752577319586
"Jae'Sean Tate","Houston Rockets",132,14,256,40,63,61881,37,65,193,85,108,26,23,135,61,152,229,39,"ACT","PF","F",55.92105263157895,29.87012987012987,47.161572052401745,66.66666666666666,952.0153846153846,47.161572052401745
"KJ Martin Jr.","Philadelphia 76ers",100,12,224,22,51,44788,32,60,131,89,97,22,8,90,41,153,181,41,"ACT","PF","F",58.16993464052288,28.57142857142857,53.591160220994475,53.65853658536586,746.4666666666667,53.591160220994475
"Mason Jones","Sacramento Kings",3,0,7,1,5,1562,2,4,5,0,2,1,2,4,1,1,7,2,"ACT","SF","F",0,33.33333333333333,28.57142857142857,50,390.5,28.571428571428573
"Nate Hinton","Houston Rockets",11,2,33,3,10,4472,3,15,22,4,11,4,7,15,7,12,26,5,"INACT","SF","F",33.33333333333333,50,42.30769230769231,80,298.1333333333333,42.30769230769231
"Josh Green","Charlotte Hornets",106,8,469,47,130,90283,60,57,182,107,179,39,72,143,40,187,374,57,"ACT","SF","F",57.21925133689839,38.50267379679144,47.860962566844925,68.42105263157895,1583.9122807017543,47.86096256684492
"Devin Vassell","San Antonio Spurs",74,23,1323,73,277,134866,108,68,261,332,498,161,166,234,27,610,1056,201,"ACT","SF","F",54.42622950819672,37.219730941704036,47.159090909090914,80.09950248756219,1983.3235294117646,47.15909090909091
"Tre Jones","San Antonio Spurs",92,9,771,78,478,128292,116,77,289,239,303,101,64,231,58,409,600,118,"QUES","PG","G",58.43520782396088,33.50785340314136,50.5,85.59322033898306,1666.1298701298701,50.5
"Onyeka Okongwu","Atlanta Hawks",162,60,561,25,74,84280,45,55,376,200,223,92,23,231,145,296,365,116,"ACT","PF","F",67.56756756756756,33.33333333333333,61.09589041095891,79.3103448275862,1532.3636363636363,61.0958904109589
"Precious Achiuwa","New York Knicks",143,67,563,45,96,97422,82,74,478,209,235,69,26,292,191,372,469,112,"ACT","C","C",56.18279569892473,26.804123711340207,50.10660980810234,61.60714285714286,1316.5135135135135,50.10660980810235
"Cole Anthony","Orlando Magic",173,37,935,64,236,109042,126,81,310,239,332,180,93,247,64,488,763,218,"ACT","SG","G",48.97540983606557,33.81818181818182,43.51245085190039,82.56880733944955,1346.1975308641975,43.51245085190039
"Nick Richards","Charlotte Hornets",172,71,642,25,53,105527,73,67,531,260,260,132,0,360,172,375,376,179,"ACT","C","C",69.33333333333334,0,69.14893617021278,73.74301675977654,1575.0298507462687,69.14893617021276
"LaMelo Ball","Charlotte Hornets",79,4,526,40,176,42684,83,22,113,113,183,90,70,84,29,226,423,104,"ACT","PG","G",50,35.53299492385787,43.262411347517734,86.53846153846155,1940.1818181818182,43.262411347517734
"Skylar Mays","Los Angeles Lakers",26,4,155,21,85,25996,20,38,43,47,63,13,16,33,10,105,159,17,"INACT","PG","G",44.761904761904766,29.629629629629626,39.62264150943396,76.47058823529412,684.1052631578947,39.62264150943396
"Zeke Nnaji","Denver Nuggets",81,38,186,15,32,34562,27,58,126,63,69,42,6,65,61,126,149,62,"ACT","C","C",50,26.08695652173913,46.308724832214764,67.74193548387096,595.8965517241379,46.308724832214764
"R.J. Hampton","Washington Wizards",8,0,10,0,8,4562,3,8,6,3,4,1,1,4,2,6,14,2,"INACT","PG","G",50,12.5,28.57142857142857,50,570.25,28.571428571428573
"Anthony Gill","Washington Wizards",48,11,189,13,34,27984,23,50,94,65,75,29,10,57,37,119,160,36,"ACT","C","C",54.621848739495796,24.390243902439025,46.875,80.55555555555556,559.68,46.875
"Deni Avdija","Portland Trail Blazers",181,36,1085,59,282,135393,156,75,536,318,406,202,88,452,84,568,803,273,"ACT","PF","F",55.98591549295775,37.4468085106383,50.560398505603985,73.992673992674,1805.24,50.560398505603985
"Jaden McDaniels","Minnesota Timberwolves",218,42,742,62,100,126323,85,72,215,221,307,57,86,159,56,373,628,79,"ACT","SF","F",59.24932975871313,33.72549019607843,48.88535031847134,72.15189873417721,1754.486111111111,48.88535031847134
"Ashton Hagans","Portland Trail Blazers",40,9,80,11,54,18934,30,19,45,21,29,14,8,31,14,46,71,17,"INACT","PG","G",45.65217391304348,32,40.845070422535215,82.35294117647058,996.5263157894736,40.84507042253521
"Aleksej Pokusevski","Charlotte Hornets",22,13,146,15,35,24323,19,28,89,31,49,30,18,72,17,66,121,41,"INACT","C","C",46.96969696969697,32.72727272727273,40.49586776859504,73.17073170731707,868.6785714285714,40.49586776859504
"Trent Forrest","Atlanta Hawks",25,3,83,11,92,24825,20,38,51,32,34,13,2,40,11,80,90,17,"INACT","SF","F",40,20,37.77777777777778,76.47058823529412,653.2894736842105,37.77777777777778
"Udoka Azubuike","Phoenix Suns",17,6,35,1,3,6772,4,16,32,16,16,3,0,21,11,23,23,13,"INACT","C","C",69.56521739130434,,69.56521739130434,23.076923076923077,423.25,69.56521739130434
"Anthony Edwards","Minnesota Timberwolves",138,42,2043,101,402,166228,236,79,426,528,718,423,190,375,52,1026,1558,506,"ACT","PG","G",51.461988304093566,35.714285714285715,46.08472400513479,83.59683794466403,2104.1518987341774,46.08472400513479
"Theo Maledon","Phoenix Suns",21,0,59,7,28,12790,18,17,24,15,20,14,5,20,4,40,70,15,"INACT","PG","G",37.5,16.666666666666664,28.57142857142857,93.33333333333333,752.3529411764706,28.571428571428573
"Omer Yurtseven","Utah Jazz",52,18,222,8,29,32705,37,48,208,94,99,19,5,136,72,160,184,28,"INACT","C","C",58.75,20.833333333333336,53.80434782608695,67.85714285714286,681.3541666666666,53.80434782608695
"Sam Hauser","Boston Celtics",99,25,712,40,82,104431,32,79,276,52,249,17,197,231,45,93,558,19,"ACT","SF","F",55.91397849462365,42.365591397849464,44.623655913978496,89.47368421052632,1321.9113924050632,44.623655913978496
"Cameron Thomas","Brooklyn Nets",138,16,1482,45,192,124488,124,66,214,382,526,286,144,186,28,794,1190,334,"QUES","SF","F",48.11083123425693,36.36363636363637,44.20168067226891,85.62874251497006,1886.1818181818182,44.20168067226891
"Day'Ron Sharpe","Brooklyn Nets",131,44,415,24,85,55244,70,61,389,164,168,75,4,228,161,279,294,123,"ACT","C","C",58.78136200716846,26.666666666666668,57.14285714285714,60.97560975609756,905.639344262295,57.142857142857146
"Kessler Edwards","Dallas Mavericks",26,4,93,10,14,16475,4,54,42,14,34,5,20,33,9,30,82,9,"ACT","SG","G",46.666666666666664,38.46153846153847,41.46341463414634,55.55555555555556,305.0925925925926,41.46341463414634
"David Duke Jr","San Antonio Spurs",4,0,26,2,5,3081,3,4,10,7,10,3,3,8,2,12,18,3,"ACT","PG","G",58.333333333333336,50,55.55555555555556,100,770.25,55.55555555555556
"Jericho Sims","New York Knicks",45,19,92,7,25,35086,15,45,146,38,38,16,0,90,56,55,55,24,"ACT","PF","F",69.0909090909091,,69.0909090909091,66.66666666666666,779.6888888888889,69.0909090909091
"Miles McBride","New York Knicks",107,7,546,49,114,79661,28,68,98,96,205,43,109,68,31,188,454,50,"ACT","SG","G",51.06382978723404,40.97744360902256,45.15418502202643,86,1171.485294117647,45.15418502202643
"Quentin Grimes","Dallas Mavericks",74,7,342,32,65,61492,26,51,96,41,122,34,81,81,15,88,328,45,"ACT","SF","F",46.590909090909086,33.75,37.19512195121951,75.55555555555556,1205.7254901960785,37.19512195121951
"Justin Champagnie","Washington Wizards",14,9,89,10,19,14090,10,15,53,19,32,12,13,34,19,33,78,15,"ACT","PF","F",57.57575757575758,28.888888888888886,41.02564102564102,80,939.3333333333334,41.02564102564103
"Scottie Barnes","Toronto Raptors",112,86,1165,75,358,125652,163,60,491,346,447,196,101,351,141,646,942,251,"INACT","PG","G",53.56037151702786,34.12162162162162,47.452229299363054,78.08764940239044,2094.2,47.452229299363054
"Dalano Banton","Portland Trail Blazers",61,20,557,33,127,62811,76,54,178,143,202,94,59,137,41,301,500,120,"ACT","SG","G",47.50830564784053,29.64824120603015,40.400000000000006,78.33333333333333,1163.1666666666667,40.4
"Jaden Springer","Boston Celtics",66,15,163,36,44,30416,34,49,78,49,59,35,10,45,33,100,148,42,"ACT","SG","G",49,20.833333333333336,39.86486486486486,83.33333333333334,620.734693877551,39.86486486486486
"Charles Bassey","San Antonio Spurs",31,17,63,8,21,12318,15,19,76,29,29,5,0,53,23,39,40,6,"ACT","C","C",74.35897435897436,0,72.5,83.33333333333334,648.3157894736842,72.5
"Moses Moody","Golden State Warriors",90,24,533,42,57,69224,44,66,196,122,194,73,72,131,65,220,420,93,"QUES","PG","G",55.45454545454545,36,46.19047619047619,78.49462365591397,1048.8484848484848,46.19047619047619
"Austin Reaves","Los Angeles Lakers",151,25,1289,65,443,157741,175,82,349,303,457,232,154,292,57,520,940,272,"ACT","PG","G",58.269230769230774,36.666666666666664,48.61702127659574,85.29411764705883,1923.6707317073171,48.61702127659574
"Jay Huff","Memphis Grizzlies",9,3,23,2,2,2958,1,19,11,6,9,2,3,9,2,6,15,2,"ACT","C","C",100,33.33333333333333,60,100,155.68421052631578,60
"Jason Preston","Utah Jazz",3,1,12,2,16,4268,2,7,17,6,6,0,0,11,6,16,19,0,"INACT","SG","G",37.5,0,31.57894736842105,,609.7142857142857,31.57894736842105
"Keon Johnson","Brooklyn Nets",5,1,31,3,3,3684,5,5,7,4,8,11,4,4,3,11,21,12,"ACT","PG","G",36.36363636363637,40,38.095238095238095,91.66666666666666,736.8,38.095238095238095
"Brandon Boston Jr.","New Orleans Pelicans",38,8,162,11,13,20710,23,32,52,51,65,23,14,33,19,109,161,33,"ACT","SF","F",46.788990825688074,26.923076923076923,40.37267080745342,69.6969696969697,647.1875,40.37267080745342
"Jonathan Kuminga","Golden State Warriors",169,36,1188,55,163,116967,122,74,355,403,456,223,53,263,92,697,862,299,"ACT","SF","F",57.81922525107605,32.121212121212125,52.90023201856149,74.5819397993311,1580.6351351351352,52.90023201856148
"Jeff Dowtin","Philadelphia 76ers",1,1,52,7,27,8459,5,11,20,11,20,3,9,17,3,17,36,4,"ACT","SG","G",64.70588235294117,47.368421052631575,55.55555555555556,75,769,55.55555555555556
"Ayo Dosunmu","Chicago Bulls",163,35,918,68,240,132743,102,76,215,241,360,85,119,162,54,424,719,105,"ACT","PG","G",56.839622641509436,40.33898305084746,50.06954102920723,80.95238095238095,1746.6184210526317,50.06954102920723
"Neemias Queta","Boston Celtics",50,21,154,13,20,19992,13,28,122,67,67,20,0,69,53,104,104,28,"ACT","C","C",64.42307692307693,,64.42307692307693,71.42857142857143,714,64.42307692307692
"Davion Mitchell","Toronto Raptors",85,3,379,17,134,66066,43,72,94,89,146,30,57,76,19,165,323,42,"ACT","SG","G",53.939393939393945,36.075949367088604,45.20123839009288,71.42857142857143,917.5833333333334,45.20123839009288
"Sandro Mamukelashvili","San Antonio Spurs",35,12,190,7,49,27057,18,46,147,54,73,25,19,102,45,91,155,34,"ACT","C","C",59.34065934065934,29.6875,47.096774193548384,73.52941176470588,588.195652173913,47.096774193548384
"DeJon Jarreau","Memphis Grizzlies",14,2,43,6,26,8973,9,9,44,13,17,5,4,36,8,37,50,11,"INACT","SG","G",35.13513513513514,30.76923076923077,34,45.45454545454545,997,34
"Isaiah Jackson","Indiana Pacers",136,59,383,34,50,46254,39,58,236,155,155,73,0,143,94,229,233,102,"INACT","C","C",67.68558951965066,0,66.52360515021459,71.56862745098039,797.4827586206897,66.52360515021459
"Chris Duarte","Chicago Bulls",80,8,230,28,44,43163,26,59,106,36,80,26,44,80,26,83,210,33,"ACT","SF","F",43.373493975903614,34.645669291338585,38.095238095238095,78.78787878787878,731.5762711864406,38.095238095238095
"Isaiah Livers","Washington Wizards",43,5,111,13,23,28163,16,23,47,18,40,12,22,33,15,39,116,18,"INACT","SF","F",46.15384615384615,28.57142857142857,34.48275862068966,66.66666666666666,1224.4782608695652,34.48275862068966
"Luka Garza","Minnesota Timberwolves",24,1,99,4,4,7308,6,25,31,27,36,18,9,12,19,43,75,25,"ACT","C","C",62.7906976744186,28.125,48,72,292.32,48
"Cade Cunningham","Detroit Pistons",153,22,1405,56,464,124451,212,62,268,405,524,238,119,235,33,832,1167,274,"ACT","SG","G",48.67788461538461,35.52238805970149,44.90145672664953,86.86131386861314,2007.274193548387,44.90145672664953
"Evan Mobley","Cleveland Cavaliers",134,72,785,45,160,91937,90,50,468,298,320,123,22,357,111,493,552,171,"ACT","PF","F",60.446247464503045,37.28813559322034,57.971014492753625,71.9298245614035,1838.74,57.971014492753625
"Alperen Sengun","Houston Rockets",205,46,1309,73,310,122748,159,63,579,494,527,244,33,399,183,871,982,352,"ACT","C","C",56.71641791044776,29.72972972972973,53.66598778004074,69.31818181818183,1948.3809523809523,53.66598778004073
"Ziaire Williams","Brooklyn Nets",84,9,406,35,75,62260,65,51,176,92,150,62,58,142,35,189,378,75,"QUES","SG","G",48.67724867724868,30.687830687830687,39.682539682539684,82.66666666666667,1220.7843137254902,39.682539682539684
"Joshua Primo","Los Angeles Clippers",0,1,2,0,0,616,4,2,1,1,1,0,0,0,1,2,3,0,"INACT","SF","F",50,0,33.33333333333333,,308,33.333333333333336
"Jock Landale","Houston Rockets",74,33,274,20,65,45810,31,56,172,96,106,52,10,84,88,166,206,65,"ACT","C","C",57.831325301204814,25,51.45631067961165,80,818.0357142857143,51.45631067961165
"Trey Murphy III","New Orleans Pelicans",70,28,842,51,124,101410,34,57,280,106,275,123,169,238,42,176,621,151,"ACT","SG","G",60.22727272727273,37.97752808988764,44.28341384863124,81.45695364238411,1779.122807017544,44.28341384863124
"Herbert Jones","New Orleans Pelicans",224,62,837,105,199,139276,93,76,272,179,293,137,114,198,74,315,588,158,"ACT","PF","F",56.82539682539682,41.75824175824176,49.82993197278912,86.70886075949366,1832.578947368421,49.82993197278912
"Jose Alvarado","New Orleans Pelicans",89,15,397,59,117,61699,40,56,128,64,142,35,78,103,25,138,345,52,"QUES","PG","G",46.3768115942029,37.68115942028986,41.15942028985507,67.3076923076923,1101.767857142857,41.15942028985507
"Santi Aldama","Memphis Grizzlies",89,54,654,43,138,97081,69,61,352,141,247,54,106,280,72,264,568,87,"ACT","SF","F",53.40909090909091,34.868421052631575,43.485915492957744,62.06896551724138,1591.4918032786886,43.485915492957744
"Eugene Omoruyi","Minnesota Timberwolves",62,5,207,27,35,23596,21,43,85,68,81,32,13,50,35,121,167,49,"INACT","PF","F",56.19834710743802,28.26086956521739,48.50299401197605,65.3061224489796,548.7441860465116,48.50299401197605
"Daishen Nix","Minnesota Timberwolves",2,0,27,5,6,2987,5,15,3,3,9,3,6,2,1,7,24,6,"ACT","SG","G",42.857142857142854,35.294117647058826,37.5,50,199.13333333333333,37.5
"Jalen Green","Houston Rockets",112,28,1599,66,285,156092,189,82,418,362,563,283,201,377,41,727,1332,352,"ACT","PG","G",49.79367262723521,33.22314049586777,42.267267267267265,80.39772727272727,1903.560975609756,42.267267267267265
"Usman Garuba","Golden State Warriors",2,3,3,1,1,1067,2,6,7,1,1,1,0,4,3,5,6,2,"INACT","C","C",20,0,16.666666666666664,50,177.83333333333334,16.666666666666668
"Jalen Johnson","Atlanta Hawks",133,47,896,67,203,113332,101,56,488,288,359,107,71,414,74,502,702,147,"ACT","PF","F",57.37051792828686,35.5,51.13960113960114,72.78911564625851,2023.7857142857142,51.13960113960114
"JT Thor","Cleveland Cavaliers",59,25,190,11,29,46835,15,63,138,52,80,11,28,101,43,102,183,20,"ACT","SF","F",50.98039215686274,34.5679012345679,43.71584699453552,55.00000000000001,743.4126984126984,43.71584699453552
"Franz Wagner","Orlando Magic",168,28,1421,76,269,140241,137,72,381,434,528,271,94,309,72,763,1096,319,"INACT","PF","F",56.88073394495413,28.22822822822823,48.175182481751825,84.95297805642633,1947.7916666666667,48.175182481751825
"Jalen Suggs","Orlando Magic",203,47,923,103,203,121478,130,75,224,183,336,118,153,177,48,329,714,156,"ACT","PG","G",55.62310030395137,39.740259740259745,47.05882352941176,75.64102564102564,1619.7066666666667,47.05882352941177
"Corey Kispert","Washington Wizards",140,16,1059,41,154,124045,97,80,224,202,386,114,184,194,30,314,794,157,"QUES","SG","G",64.3312101910828,38.333333333333336,48.614609571788414,72.61146496815286,1550.5625,48.614609571788414
"James Bouknight","Charlotte Hornets",2,1,47,1,4,4854,2,14,7,5,18,1,13,6,1,11,41,2,"INACT","PG","G",45.45454545454545,43.333333333333336,43.90243902439025,50,346.7142857142857,43.90243902439025
"Bones Hyland","Los Angeles Clippers",51,4,256,26,93,32411,44,37,55,53,97,18,44,50,5,116,251,23,"ACT","SG","G",45.689655172413794,32.592592592592595,38.645418326693225,78.26086956521739,875.972972972973,38.645418326693225
"Trendon Watford","Brooklyn Nets",106,19,432,23,81,51389,63,63,194,137,164,77,27,142,52,243,311,97,"QUES","C","C",56.37860082304527,39.705882352941174,52.73311897106109,79.38144329896907,815.6984126984127,52.733118971061096
"Greg Brown","Dallas Mavericks",5,4,15,0,4,2384,4,6,9,4,5,4,1,6,3,8,11,9,"INACT","SF","F",50,33.33333333333333,45.45454545454545,44.44444444444444,397.3333333333333,45.45454545454545
"Aaron Wiggins","Oklahoma City Thunder",90,19,529,55,86,73666,55,78,181,150,212,56,62,123,60,251,377,71,"ACT","PF","F",59.76095617529881,49.2063492063492,56.233421750663126,78.87323943661971,944.4358974358975,56.23342175066313
"Jared Butler","Washington Wizards",58,8,251,29,126,33935,50,40,58,74,98,31,24,49,9,123,201,36,"ACT","PG","G",60.16260162601627,30.76923076923077,48.756218905472636,86.11111111111111,848.375,48.756218905472636
"Jeremiah Robinson-Earl","New Orleans Pelicans",24,4,115,10,21,20056,16,39,76,32,45,12,13,53,23,56,95,16,"QUES","C","C",57.14285714285714,33.33333333333333,47.368421052631575,75,514.2564102564103,47.36842105263158
"Tre Mann","Charlotte Hornets",48,3,382,51,165,59228,65,41,149,98,145,45,47,129,20,190,316,59,"INACT","SG","G",51.578947368421055,37.301587301587304,45.88607594936709,76.27118644067797,1444.5853658536585,45.88607594936709
"Vit Krejci","Atlanta Hawks",48,6,135,13,50,32479,20,22,52,23,51,5,28,41,11,36,104,6,"ACT","SG","G",63.888888888888886,41.17647058823529,49.03846153846153,83.33333333333334,1476.3181818181818,49.03846153846154
"Josh Giddey","Chicago Bulls",109,44,977,49,377,120696,167,80,508,320,402,100,82,398,111,604,847,124,"QUES","PG","G",52.980132450331126,33.744855967078195,47.4616292798111,80.64516129032258,1508.7,47.4616292798111
"Ish Wainright","Phoenix Suns",8,1,23,4,1,3742,2,11,14,0,7,2,7,11,3,4,24,2,"INACT","C","C",0,35,29.166666666666668,100,340.1818181818182,29.166666666666668
"Javonte Smart","Philadelphia 76ers",0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,"INACT","SG","G",,,,,40,
"Trevelin Queen","Orlando Magic",14,5,29,6,15,9883,5,14,17,11,14,9,3,15,3,21,38,12,"ACT","PG","G",52.38095238095239,17.647058823529413,36.84210526315789,75,705.9285714285714,36.8421052631579
"Brandon Williams","Dallas Mavericks",4,1,54,1,16,6771,7,17,12,17,20,11,3,8,4,39,54,17,"QUES","SG","G",43.58974358974359,20,37.03703703703704,64.70588235294117,398.29411764705884,37.03703703703704
"Jordan Goodwin","Los Angeles Lakers",76,18,364,48,155,63341,56,57,253,99,141,44,42,165,88,241,382,59,"INACT","PG","G",41.078838174273855,29.78723404255319,36.910994764397905,74.57627118644068,1111.2456140350878,36.910994764397905
"Olivier Sarr","Oklahoma City Thunder",18,7,34,0,2,5892,3,15,36,9,11,10,2,26,10,13,19,15,"INACT","C","C",69.23076923076923,33.33333333333333,57.89473684210527,66.66666666666666,392.8,57.89473684210526
"Xavier Moon","Los Angeles Clippers",8,3,33,3,21,7155,5,14,18,13,15,1,2,10,8,29,46,2,"INACT","PG","G",44.827586206896555,11.76470588235294,32.608695652173914,50,511.07142857142856,32.608695652173914
"Micah Potter","Utah Jazz",14,6,53,4,6,11163,5,16,43,10,19,6,9,33,10,19,40,8,"ACT","PF","F",52.63157894736842,42.857142857142854,47.5,75,697.6875,47.5
"Terry Taylor","Sacramento Kings",17,2,46,5,10,11256,7,31,37,18,20,4,2,20,17,30,39,5,"INACT","C","C",60,22.22222222222222,51.28205128205128,80,363.0967741935484,51.282051282051285
"Braxton Key","Los Angeles Clippers",5,1,22,2,9,3597,1,20,18,5,7,6,2,15,3,12,17,8,"INACT","SF","F",41.66666666666667,40,41.17647058823529,75,179.85,41.1764705882353
"Lindy Waters III","Golden State Warriors",23,7,137,5,24,16805,7,38,40,12,49,2,37,33,7,19,104,2,"ACT","SF","F",63.1578947368421,43.529411764705884,47.11538461538461,100,442.2368421052632,47.11538461538461
"Zavier Simpson","Memphis Grizzlies",11,3,42,7,25,9683,10,7,20,12,17,3,5,16,4,37,54,4,"INACT","SG","G",32.432432432432435,29.411764705882355,31.48148148148148,75,1383.2857142857142,31.48148148148148
"Matt Ryan","New Orleans Pelicans",32,1,152,6,18,23419,19,28,40,8,49,13,41,34,6,22,113,14,"ACT","SG","G",36.36363636363637,45.05494505494506,43.36283185840708,92.85714285714286,836.3928571428571,43.36283185840708
"JD Davison","Boston Celtics",4,1,16,1,10,2340,2,8,10,2,5,3,3,8,2,5,12,4,"ACT","SG","G",40,42.857142857142854,41.66666666666667,75,292.5,41.666666666666664
"Julian Champagnie","San Antonio Spurs",77,42,504,48,103,88065,57,74,206,63,164,75,101,164,42,125,402,92,"ACT","SG","G",50.4,36.462093862815884,40.79601990049751,81.52173913043478,1190.0675675675675,40.79601990049751
"Ron Harper Jr.","Boston Celtics",2,0,0,0,1,219,0,1,0,0,0,0,0,0,0,0,0,0,"INACT","PF","F",,,,,219,
"Alondes Williams","Detroit Pistons",2,1,5,0,0,934,2,7,1,2,2,1,0,1,0,4,8,1,"ACT","PG","G",50,0,25,100,133.42857142857142,25
"Scotty Pippen Jr.","Memphis Grizzlies",60,10,271,36,98,31611,56,21,67,70,100,41,30,45,22,131,203,55,"ACT","SG","G",53.43511450381679,41.66666666666667,49.26108374384236,74.54545454545455,1505.2857142857142,49.26108374384236
"Keegan Murray","Sacramento Kings",203,57,1140,79,127,155310,63,77,415,260,443,103,183,309,106,464,975,124,"QUES","PF","F",56.03448275862068,35.81213307240704,45.43589743589744,83.06451612903226,2017.012987012987,45.43589743589744
"Keon Ellis","Sacramento Kings",111,29,310,51,85,58706,37,57,124,37,107,26,70,92,32,64,232,35,"ACT","PG","G",57.8125,41.66666666666667,46.12068965517241,74.28571428571429,1029.9298245614036,46.12068965517241
"Max Christie","Los Angeles Lakers",57,17,278,20,58,56657,35,67,138,61,103,36,42,124,15,123,241,46,"ACT","SF","F",49.59349593495935,35.59322033898305,42.738589211618255,78.26086956521739,845.6268656716418,42.738589211618255
"Moussa Diabate","Charlotte Hornets",4,1,29,5,4,3853,2,11,24,10,10,9,0,9,15,19,19,14,"ACT","C","C",52.63157894736842,,52.63157894736842,64.28571428571429,350.27272727272725,52.63157894736842
"Pat Spencer","Golden State Warriors",1,0,4,0,5,1539,1,6,4,2,2,0,0,2,2,2,4,0,"ACT","SG","G",100,0,50,,256.5,50
"Gui Santos","Golden State Warriors",23,2,82,4,14,11526,7,23,49,18,28,16,10,32,17,28,55,17,"ACT","SG","G",64.28571428571429,37.03703703703704,50.90909090909091,94.11764705882352,501.1304347826087,50.90909090909091
"Ryan Rollins","Milwaukee Bucks",8,3,44,10,14,4671,8,13,13,11,14,13,3,11,2,23,27,17,"ACT","SG","G",47.82608695652174,75,51.85185185185185,76.47058823529412,359.3076923076923,51.851851851851855
"Lester Quinones","Philadelphia 76ers",44,2,164,6,36,23667,17,37,72,24,56,20,32,51,21,53,141,29,"INACT","PG","G",45.28301886792453,36.36363636363637,39.71631205673759,68.96551724137932,639.6486486486486,39.716312056737586
