"Name (2023) (523)","Team (2023) (523)","Fouls (2023) (523)","BKS (2023) (523)","Pts (2023) (523)","STL (2023) (523)","Assists (2023) (523)","MIN (2023) (523)","Turnovers (2023) (523)","G (2023) (523)","REB (2023) (523)","2FGM (2023) (523)","FGM (2023) (523)","FTM (2023) (523)","3FGM (2023) (523)","DREB (2023) (523)","OREB (2023) (523)","2FGA (2023) (523)","FGA (2023) (523)","FTA (2023) (523)","Status () (524)","Pos () (524)","Pos Cat () (524)","2FG Perc (Calculated)","3FG Perc (Calculated)","FG Perc (Calculated)","Free Kick Perc (Calculated)","MIN / G (Calculated)","FGM / FGA (%) (Calculated)"
"Luguentz Dort","Oklahoma City Thunder",224,46,853,72,112,134754,72,79,281,132,288,128,156,207,74,261,657,155,"ACT","SF","F",50.57471264367817,39.39393939393939,43.83561643835616,82.58064516129032,1705.746835443038,43.83561643835616
"Darius Bazley","Utah Jazz",3,7,48,6,7,9110,8,9,28,16,18,10,2,20,8,22,30,12,"INACT","C","C",72.72727272727273,25,60,83.33333333333334,1012.2222222222222,60
"Nassir Little","Miami Heat",39,10,152,10,21,27493,14,45,75,36,57,17,21,61,14,54,124,20,"INACT","SF","F",66.66666666666666,30,45.96774193548387,85,610.9555555555555,45.96774193548387
"Moses Brown","Portland Trail Blazers",27,7,75,5,7,11999,11,22,86,33,33,9,0,49,37,65,65,31,"INACT","C","C",50.76923076923077,,50.76923076923077,29.03225806451613,545.4090909090909,50.76923076923077
"Juan Toscano-Anderson","Sacramento Kings",7,1,7,1,3,3158,1,11,8,2,3,0,1,6,4,8,12,0,"INACT","PF","F",25,25,25,,287.09090909090907,25
"Marques Bolden","Charlotte Hornets",10,7,37,3,4,7276,3,11,34,17,17,3,0,24,10,24,25,4,"INACT","C","C",70.83333333333334,0,68,75,661.4545454545455,68
"Gabe Vincent","Los Angeles Lakers",19,0,34,9,21,13055,5,11,9,12,15,1,3,5,4,21,49,2,"ACT","SG","G",57.14285714285714,10.714285714285714,30.612244897959183,50,1186.8181818181818,30.612244897959183
"Jontay Porter","Toronto Raptors",35,20,115,19,57,21583,21,25,82,20,40,15,20,56,26,44,104,18,"INACT","C","C",45.45454545454545,33.33333333333333,38.46153846153847,83.33333333333334,863.32,38.46153846153846
"Payton Pritchard","Boston Celtics",104,6,773,39,278,109532,60,82,258,150,297,46,147,192,70,253,635,56,"ACT","PG","G",59.28853754940712,38.481675392670155,46.77165354330708,82.14285714285714,1335.7560975609756,46.77165354330709
"Aaron Nesmith","Indiana Pacers",239,48,858,65,106,119681,64,72,271,175,315,105,140,210,63,301,635,135,"INACT","PF","F",58.139534883720934,41.91616766467065,49.60629921259843,77.77777777777779,1662.236111111111,49.60629921259842
"Obi Toppin","Indiana Pacers",141,43,832,47,127,103829,69,82,320,230,332,79,102,235,85,326,579,102,"ACT","C","C",70.5521472392638,40.316205533596836,57.340241796200345,77.45098039215686,1266.2073170731708,57.340241796200345
"Paul Reed","Detroit Pistons",198,84,600,67,109,95372,67,82,488,238,259,61,21,295,193,423,480,85,"INACT","C","C",56.26477541371159,36.84210526315789,53.95833333333333,71.76470588235294,1163.0731707317073,53.958333333333336
"Tyrese Maxey","Philadelphia 76ers",151,33,1816,69,433,157541,116,70,258,426,638,328,212,222,36,850,1419,378,"ACT","PG","G",50.117647058823536,37.258347978910365,44.96124031007752,86.77248677248677,2250.5857142857144,44.96124031007752
"Isaiah Joe","Oklahoma City Thunder",87,22,620,46,96,86692,46,78,176,75,222,45,147,145,32,132,485,52,"ACT","SF","F",56.81818181818182,41.64305949008499,45.77319587628866,86.53846153846155,1111.4358974358975,45.77319587628866
"Immanuel Quickley","Toronto Raptors",113,10,1135,50,326,119114,100,68,254,217,388,209,171,238,17,461,894,245,"INACT","SG","G",47.071583514099785,39.4919168591224,43.40044742729307,85.3061224489796,1751.6764705882354,43.40044742729307
"James Wiseman","Indiana Pacers",139,38,442,12,53,65462,65,63,331,187,187,72,0,222,110,303,305,102,"INACT","C","C",61.71617161716172,0,61.31147540983607,70.58823529411765,1039.079365079365,61.31147540983606
"Malachi Flynn","San Antonio Spurs",66,8,378,38,130,52614,63,69,114,80,136,52,56,93,21,156,325,71,"INACT","SG","G",51.28205128205128,33.13609467455622,41.84615384615385,73.23943661971832,762.5217391304348,41.84615384615385
"Jalen Smith","Chicago Bulls",123,35,590,17,62,62793,42,61,328,173,234,72,61,218,112,251,395,104,"ACT","C","C",68.92430278884463,42.36111111111111,59.24050632911393,69.23076923076923,1029.3934426229507,59.24050632911393
"Jahmi'us Ramsey","Toronto Raptors",10,0,47,7,8,7265,7,7,22,12,18,5,6,18,4,19,41,6,"INACT","PG","G",63.1578947368421,27.27272727272727,43.90243902439025,83.33333333333334,1037.857142857143,43.90243902439025
